Cust_Chn_Nm	UNT_NAM	Trx_Amt
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-60000.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-58954.36
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	790.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-21560.40
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-36164.42
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-3621.20
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-377872.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-211008.42
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-12825.57
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	15562.62
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	30331.18
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	300.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-1192950.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	37750.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-12007.64
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-142240.11
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-45765.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-9453.63
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	3700.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-7235.48
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-41500.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	178000.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	1166.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	3032.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-17845.95
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-112227.53
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	72.85
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	600.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-833451.02
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-4300.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-12576.45
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-186661.54
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-26658.28
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-20205.44
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-2177.46
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-37863.49
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-16830.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-91801.20
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	5820.00
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	191085.80
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-5369.31
康师傅方便面投资（中国）有限公司	郑州顶益食品有限公司	-1780.00
