UNT_NAM	UNT_ADD	UNT_TEL	UNT_ID	UNT_ID_TYP	UNT_LVL	ADR_PRV	ADR_CTY	ADR_DST	PRD_TYP	DTA_SRC	CRE_DTE	BBK_NBR	ACT_IND	PRS_INF
甘肃馨康网络科技有限公司	 	 	 	 	BLK	 	兰州	 	?	BLKS	2020/10/27	931	Y	洗钱
长远控股有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/7/17	274	Y	洗钱
衢州业业贸易有限公司	 	 	 	 	BLK	 	衢州	 	?	BLKS	2020/10/27	570	Y	洗钱
广州佳圆商贸有限公司	 	 	 	 	BLK	 	广州	 	?	BLKS	2020/10/27	120	Y	洗钱
南京市建邺区祥新鞋店	 	 	 	 	BLK	 	南京	 	?	BLKS	2020/10/27	125	Y	洗钱
GOLDEN OCEAN LIMITED	 	 	 	 	BLK	 	?	 	?	BLKS	2020/10/27	211	Y	洗钱
宜信普惠信息咨询（北京）有限公司兰州分公司	 	 	 	 	BLK	 	兰州	 	?	BLKS	2020/10/27	931	Y	洗钱
杭州鼎聚投资管理有限公司	 	 	 	 	BLK	 	杭州	 	?	BLKS	2020/10/27	571	Y	洗钱
沈阳市远清峰建材经销处	 	 	 	 	BLK	 	沈阳	 	?	BLKS	2020/10/27	124	Y	洗钱
佰扬工贸有限公司	 	 	 	 	BLK	 	?	 	?	BLKS	2020/7/17	295	Y	洗钱
